"Gene_name","log2FoldChange","pvalue","padj","Comparison","neg_log10_pvalue"
"MCM3",-1.79347136914315,0.000295193117155688,0.0089535438670621,"WI38_Dox",3.52989377291997
"MCM4",-1.8430025207229,0.00435007990405852,0.0682540614328229,"WI38_Dox",2.36150276567226
"MCM2",-2.74236045096834,0.0166074758502789,0.169393804192631,"WI38_Dox",1.77969637041423
"MCM8",-1.40737124755099,0.0282406109596647,0.237227992823032,"WI38_Dox",1.54912591195661
"GDF15",1.59701827220391,0.0288458158213991,0.24048612334284,"WI38_Dox",1.53991717375484
"PURPL",2.00598906320111,0.0382008057608075,0.288639904112389,"WI38_Dox",1.41792747651809
"MCM6",-0.944273040115576,0.047776962294704,0.332493502629308,"WI38_Dox",1.32078146656996
"MCMBP",-0.628543733708652,0.129941524810467,0.5640357538407,"WI38_Dox",0.886252041273233
"MCM3AP",-0.424770720729617,0.210309080358675,0.695794402445647,"WI38_Dox",0.67714197569917
"MCM9",-0.231989761347553,0.27161696642424,0.768236543753274,"WI38_Dox",0.566043105546589
"MCMDC2",0.278950967348988,0.429961883427467,0.88402004008998,"WI38_Dox",0.36657004337589
"CDKN2A",-0.290154005891408,0.50796745214508,0.919985149979347,"WI38_Dox",0.294164114107103
"CDKN1A",0.342920297403929,0.634553796193172,0.961202431636987,"WI38_Dox",0.197531553396757
"GDF15",4.94900663686698,8.2781307327044e-112,8.92461332325845e-109,"WI38_HRAS",111.082067719268
"LMNB1",-3.61014114043894,2.29334422940039e-62,6.18110873257439e-60,"WI38_HRAS",61.6395307530726
"MKI67",-3.57636912826058,6.88747493717018e-38,6.52436956391351e-36,"WI38_HRAS",37.1619399684913
"CDKN1A",2.38885587568374,3.62796222182527e-27,2.0483058529208e-25,"WI38_HRAS",26.4403372439213
"CDKN2A",2.39834392836823,1.32317271285548e-26,7.23590101909375e-25,"WI38_HRAS",25.8783834639421
"MCM10",-2.91505981139086,2.97255069901734e-24,1.434937053854e-22,"WI38_HRAS",23.5268707294374
"MCM7",-2.09610237696012,1.9948764256273e-21,7.90963262280246e-20,"WI38_HRAS",20.7000840018972
"MCM6",-2.34530677965492,2.52924857601586e-19,8.54659518820881e-18,"WI38_HRAS",18.5970084858446
"MCM5",-1.98630472805587,7.83623076486258e-18,2.29808632793379e-16,"WI38_HRAS",17.1058927831889
"MCM3",-1.83847314445091,3.65251833507344e-17,1.01838688554264e-15,"WI38_HRAS",16.4374075952975
"MCM2",-1.92614633874884,3.13866531463392e-16,8.1583677064652e-15,"WI38_HRAS",15.5032549919639
"MCM4",-1.1303307405762,4.53436103801051e-08,4.55447799026432e-07,"WI38_HRAS",7.34348390313909
