"Gene_name","log2FoldChange","pvalue","padj","Comparison"
"CDKN2C",-3.30569255616011,1.53219876909019e-29,2.26352549893558e-27,"WI38_IR"
"SLFN11",-2.20672576741787,4.78968925753142e-27,5.90832118362788e-25,"WI38_IR"
"H1-4",-2.76092377949621,1.49042315587318e-25,1.71024324086266e-23,"WI38_IR"
"H2AC20",-2.28162383063214,4.26037374464838e-17,2.78800213936924e-15,"WI38_IR"
"H3C11",-3.21718469417301,1.9427976270218e-16,1.21037273374381e-14,"WI38_IR"
"NIBAN1",-1.64266055071087,9.16162781045127e-15,5.00944848248482e-13,"WI38_IR"
"HNRNPH1",-1.55652778145798,9.85360845012418e-14,4.89131537370249e-12,"WI38_IR"
"PARP1",-1.40319548125456,3.58785550464448e-12,1.50027090093363e-10,"WI38_IR"
"ITPRIPL1",-2.59228691552691,1.6850979036724e-09,4.94328779803825e-08,"WI38_IR"
"PTMA",-1.17767797943157,1.79929195543021e-08,4.45686062574486e-07,"WI38_IR"
"CBX2",-2.17806752558598,2.46575563122034e-06,4.00713543070511e-05,"WI38_IR"
"CDCA7L",-1.06702630187013,7.69413595185632e-06,0.00011212169407457,"WI38_IR"
"EML4",-1.05371216945711,4.88692337701407e-05,0.000581317679046837,"WI38_IR"
"GLUL",-0.741290836584746,0.000199790662515854,0.00198032761547957,"WI38_IR"
"PHB2",-0.83202841667158,0.000326982787268055,0.00303727121411528,"WI38_IR"
"LIG3",-0.842274566464374,0.000875184297913967,0.00700548566965079,"WI38_IR"
"VSIG10",-0.662823362396701,0.00871904574924223,0.0441608658754989,"WI38_IR"
"SLFN11",-3.15578834613599,1.13115436324833e-42,3.35433126312452e-40,"WI38_RE"
"GLUL",-1.98016437282641,1.28694594201579e-27,1.6230311351491e-25,"WI38_RE"
"NIBAN1",-3.08032536950416,9.61960904186525e-24,9.42378128637014e-22,"WI38_RE"
"ITPRIPL1",-3.71014240326902,4.59110855710094e-22,3.83069529190202e-20,"WI38_RE"
"PTMA",-1.64160457611321,1.16639420109937e-19,8.0488535688442e-18,"WI38_RE"
"H1-4",-3.09910151928949,5.78251127867536e-19,3.81055337835592e-17,"WI38_RE"
"H1-3",-3.0397685564844,1.18463214805583e-18,7.55685112120268e-17,"WI38_RE"
"CDCA7L",-1.52491326614359,1.31327083062015e-12,4.35982074237951e-11,"WI38_RE"
"H1-1",-2.27813503377361,9.66418940683362e-10,2.23232602466902e-08,"WI38_RE"
"H3C11",-2.8290797429614,1.98273541057592e-09,4.4126922768436e-08,"WI38_RE"
"CDKN2C",-2.58893933356588,4.03300746846457e-09,8.48516930853178e-08,"WI38_RE"
